Batterystats,Cpu,Memory,Type,Phone
136.946376,10.96166667,42665.82917,BaseApp,Samsung
132.133068,6.009166667,42334.5,BaseApp,Samsung
130.269852,4.942083333,42792.95,BaseApp,Samsung
130.17492,18.7593361,42416.361,BaseApp,Samsung
130.79628,11.05857741,44411.98326,BaseApp,Samsung
129.86424,11,42190.76987,BaseApp,Samsung
135.61182,7.000414938,42372.91286,BaseApp,Samsung
136.07784,9.719087137,44529.75934,BaseApp,Samsung
147.398832,29.89150579,67375.70656,RELATE,Lg
132.005916,11.07063197,67212.41264,RELATE,Lg
132.783336,12.58955224,67325.51866,RELATE,Lg
131.694948,8.830597015,67340.52985,RELATE,Lg
136.359468,9.995522388,67764.25373,RELATE,Lg
136.514952,10.99626866,67434.51493,RELATE,Lg
133.094304,6.482527881,67704.43866,RELATE,Lg
130.451076,9.986891386,67755.37828,RELATE,Lg
132.93882,10,67649.02612,RELATE,Lg
130.451076,25.93754647,67605.829,RELATE,Lg
152.183592,29.89138577,67806.74906,RELATE,Lg
131.198112,15.79775281,67590.88015,RELATE,Lg
140.524992,10.01858736,67477.59108,RELATE,Lg
131.819904,10.9962406,67606.10902,RELATE,Lg
133.374384,11,67567.87687,RELATE,Lg
131.35356,5.738576779,67619.09363,RELATE,Lg
131.509008,9.983955224,67688.70522,RELATE,Lg
133.529832,10,67550.5206,RELATE,Lg
216.07272,11.95910781,66044.08178,RELATE,Lg
133.529832,12,67722.65056,RELATE,Lg
180.1314,36.93501805,67715.40072,RELATE,Lg
146.924568,14.08363636,67437.98545,RELATE,Lg
133.297236,25.94095941,67694.13653,RELATE,Lg
134.863596,10.05882353,68185.38235,RELATE,Lg
130.79106,10.99632353,67072.80147,RELATE,Lg
151.932312,29.92910448,68838.12687,RELATE,Lg
140.3892,20.5,68139.86765,RELATE,Lg
131.341896,9.922592593,68299.0037,RELATE,Lg
141.793092,9.999632353,68567.44118,RELATE,Lg
135.553572,11.99259259,68115.86296,RELATE,Lg
131.341896,6.33605948,68052.84758,RELATE,Lg
129.158064,9.986142322,68534.8839,RELATE,Lg
137.26944,10,68665.01476,RELATE,Lg
139.141296,20.92703704,68163.32222,RELATE,Lg
132.901776,11.03717472,68164.2119,RELATE,Lg
133.213752,10.0037594,67925.38346,RELATE,Lg
130.873932,15.41791045,67821.34328,RELATE,Lg
129.158064,9.922592593,68161.26667,RELATE,Lg
131.185908,9.99962963,67898.24074,RELATE,Lg
132.121836,13.85074627,68559.07836,RELATE,Lg
146.99484,27.89888476,68233.81041,RELATE,Lg
142.16256,9.966789668,68009.22509,RELATE,Lg
132.80976,10.9962963,68084.74815,RELATE,Lg
131.09508,10.0037594,68791.3985,RELATE,Lg
131.7186,14.11111111,68273.75926,RELATE,Lg
130.47156,9.919029851,68479.50373,RELATE,Lg
130.31568,9.999632353,68543.34191,RELATE,Lg
224.4672,14.00743494,68238.08922,RELATE,Lg
130.62744,6.535185185,68338.05185,RELATE,Lg
132.96564,9.986988848,68767.42007,RELATE,Lg
134.05842,19.28770492,53923.7459,RELATE,Samsung
137.00988,12.02469136,54051.40329,RELATE,Samsung
135.9225,6.750409836,53914.04508,RELATE,Samsung
134.99046,6.351836735,62772.98776,RELATE,Samsung
140.89338,4.996326531,62490.01224,RELATE,Samsung
133.12638,11.97131148,54149.97541,RELATE,Samsung
132.50502,11.00409836,53944.45902,RELATE,Samsung
132.19434,12.27160494,54157.31687,RELATE,Samsung
134.21376,10.01639344,53948.86885,RELATE,Samsung
131.88366,10.99591837,62328.14694,RELATE,Samsung
124.730496,37.85245902,62665.18033,RELATE,Samsung
132.067584,12.11428571,53982.88571,RELATE,Samsung
135.583272,11.00823045,54041.81481,RELATE,Samsung
130.844736,11.99591837,54092.3102,RELATE,Samsung
132.22044,11.00406504,53966.45528,RELATE,Samsung
154.38456,7.281632653,62453.74694,RELATE,Samsung
129.9276,11.98089431,54261.27236,RELATE,Samsung
129.316176,11.00411523,54024.84774,RELATE,Samsung
128.857608,11,54065.16393,RELATE,Samsung
118.616256,6.447736626,53872.93416,RELATE,Samsung
141.595344,35.05349794,53825.17695,RELATE,Samsung
156.63888,13,53879.01224,RELATE,Samsung
141.750432,6.961885246,53898.20902,RELATE,Samsung
140.044464,11.97901235,62542.60905,RELATE,Samsung
142.060608,13.03265306,62684.08571,RELATE,Samsung
132.629616,37.85286885,54509.61885,RELATE,Samsung
131.542488,12.10569106,54505.62602,RELATE,Samsung
128.436408,11.00409836,54651.65574,RELATE,Samsung
131.076576,5.293852459,54442.7541,RELATE,Samsung
133.872048,10.97682927,54803.27642,RELATE,Samsung
131.076576,11,54598.92593,RELATE,Samsung
129.834144,13.13934426,54381.28279,RELATE,Samsung
151.576704,5.866122449,54414.31429,RELATE,Samsung
130.610664,10.97860082,54889.55144,RELATE,Samsung
127.34928,11,54344.99592,RELATE,Samsung
125.79624,10.96530612,54476.0449,RELATE,Samsung
129.368232,11.99588477,54751.79835,RELATE,Samsung
130.610664,11.00409836,54444.08607,RELATE,Samsung
125.485632,11,54499.20902,RELATE,Samsung
131.542488,4.758606557,54386.22541,RELATE,Samsung
150.022368,37.89223881,55277.60896,RELATE,Samsung
128.45952,11.11111111,54548.92593,RELATE,Samsung
128.918304,4.256557377,54541.37705,RELATE,Samsung
133.659072,10.97213115,54646.35656,RELATE,Samsung
128.45952,11,54633.52869,RELATE,Samsung
131.823936,19.63237705,54790.34426,RELATE,Samsung
159.04512,12.01639344,54574.05328,RELATE,Samsung
128.153664,11.00409836,54567.89344,RELATE,Samsung
126.1656,11,54548.26337,RELATE,Samsung
127.083168,5.43127572,54480.38683,RELATE,Samsung
