Group,Timestamp,Email address,Provide here the date for which you are rating your activity,I am happy with the daily activity suggested to me today,I performed the daily activity suggested to me today,Provide here if you have performed any other physical activity today
R,1/18/2021 15:21:46,2,1/18/2021,4,No,No
R,1/19/2021 12:11:49,2,1/19/2021,4,Yes,No
R,1/20/2021 13:33:23,2,1/20/2021,4,Yes,no
R,1/21/2021 13:35:00,2,1/21/2021,5,Yes,No
R,1/22/2021 9:29:20,2,1/22/2021,3,No,No
R,1/23/2021 21:01:59,2,1/23/2021,4,Yes,No
R,1/25/2021 18:50:38,2,1/25/2021,4,Yes,No
R,1/28/2021 9:57:38,2,1/28/2021,4,Yes,no
R,1/31/2021 10:00:16,2,1/31/2021,4,No,No
R,2/1/2021 12:50:12,2,2/1/2021,4,Yes,No
R,2/3/2021 10:09:24,2,2/3/2021,5,Yes,No
R,2/5/2021 8:17:08,2,2/5/2021,5,Yes,No
R,2/8/2021 9:51:47,2,2/8/2021,4,No,No
R,2/9/2021 18:11:41,2,2/9/2021,3,No,No
R,2/10/2021 21:15:39,2,2/10/2021,4,Yes,No
R,2/15/2021 9:19:21,2,2/15/2021,4,No,No
R,1/11/2021 17:30:37,3,1/11/2021,4,No,"I had to bike to my working place, and I would have gone running but I already had done that yesterday so decided against it in order to have a balanced sport schedule."
R,1/12/2021 22:49:15,3,1/12/2021,3,Yes,I went running
R,1/14/2021 10:07:51,3,1/13/2021,3,Yes,-
R,1/19/2021 11:55:59,3,1/14/2021,4,Yes,-
R,1/19/2021 11:56:37,3,1/15/2021,4,Yes,30 Minutes Whole-Body Workout w/ my family
R,1/19/2021 11:56:55,3,1/16/2021,4,Yes,-
R,1/19/2021 11:57:22,3,1/17/2021,4,No,no activity done due to travelling
R,1/19/2021 11:58:27,3,1/18/2021,4,No,biking instead of the suggested walk
R,1/20/2021 9:27:28,3,1/19/2021,5,Yes,--
R,1/20/2021 23:22:38,3,1/20/2021,4,No,-
R,1/22/2021 16:20:56,3,1/21/2021,4,Yes,-
R,1/24/2021 18:02:51,3,1/22/2021,4,Yes,-
R,1/24/2021 18:03:03,3,1/23/2021,4,No,-
R,2/2/2021 20:52:28,3,2/25/2021,4,No,running
R,2/2/2021 20:53:02,3,2/26/2021,4,Yes,-
R,2/2/2021 20:53:14,3,2/27/2021,3,Yes,-
R,2/2/2021 20:53:25,3,2/28/2021,5,No,-
R,2/2/2021 20:56:54,3,1/29/2021,4,Yes,--
R,2/2/2021 20:57:10,3,1/30/2021,3,No,-
R,2/2/2021 20:57:31,3,1/31/2021,4,Yes,-
R,2/2/2021 20:58:01,3,2/1/2021,5,Yes,I ran for 1 hour instead of 5 minutes
R,2/2/2021 20:58:29,3,2/2/2021,3,No,biking for ~19 kilometres
R,2/5/2021 10:11:19,3,2/25/2021,4,No,running
R,2/5/2021 10:11:38,3,1/25/2021,4,No,running
R,2/5/2021 10:11:57,3,1/26/2021,4,Yes,-
R,2/5/2021 10:12:09,3,1/27/2021,3,Yes,-
R,2/5/2021 10:12:26,3,1/28/2021,4,No,-
R,2/5/2021 10:13:10,3,2/3/2021,4,No,biking
R,2/5/2021 10:13:22,3,2/4/2021,4,Yes,-
R,2/15/2021 10:07:57,3,2/6/2021,4,Yes,-
R,2/15/2021 10:08:11,3,2/7/2021,4,Yes,-
R,2/15/2021 10:08:22,3,2/8/2021,3,No,-
R,2/15/2021 10:08:32,3,2/9/2021,4,Yes,-
R,2/15/2021 10:08:47,3,2/10/2021,4,No,-
R,2/15/2021 10:09:00,3,2/11/2021,4,Yes,-
R,2/15/2021 10:09:10,3,2/12/2021,5,Yes,-
R,2/15/2021 10:09:21,3,2/13/2021,3,No,-
R,2/15/2021 10:09:30,3,2/14/2021,4,Yes,-
B,1/22/2021 14:53:36,13,1/22/2021,3,Yes,"Cycling, exercise"
B,1/27/2021 12:25:53,13,1/25/2021,4,No,None. 
B,1/18/2021 16:53:38,13,1/18/2021,4,Yes,Did some body weight and bands exercises.
B,1/27/2021 12:26:33,13,1/27/2021,4,Yes,"Not yet, but will exercise in the evening. "
B,2/1/2021 12:51:42,13,1/29/2021,3,No,"No, too busy with submissions last week. "
B,2/1/2021 12:52:18,13,2/1/2021,4,Yes,"Not yet, but will go for a walk in the evening. "
B,2/5/2021 20:52:17,13,2/5/2021,4,Yes,"No, too tired due to university"
B,2/8/2021 13:15:56,13,2/8/2021,4,Yes,None
B,2/16/2021 12:51:55,13,2/15/2021,4,Yes,Some burpees and core exercises
B,1/22/2021 14:54:32,13,1/20/2021,3,No,Bodyweight exercises
R,1/18/2021 16:25:50,14,1/18/2021,4,Yes,A short walk
R,1/20/2021 20:36:54,14,1/20/2021,3,Yes,Took a half hour walk outside 
R,1/22/2021 11:57:36,14,12/8/1999,5,Yes,No
R,1/24/2021 20:42:45,14,1/24/2021,3,Yes,Took a 4 km walk
R,1/25/2021 20:36:00,14,1/25/2021,5,Yes,No
R,1/26/2021 20:34:53,14,1/26/2021,3,Yes,No
R,1/27/2021 19:07:39,14,1/27/2021,4,No,Took a walk
R,1/29/2021 15:00:20,14,1/29/2021,5,Yes,No
R,1/30/2021 21:26:38,14,1/30/2021,2,Yes,Nothing
R,1/31/2021 20:33:56,14,1/31/2021,2,Yes,Took a walk
R,2/1/2021 17:51:20,14,2/1/2021,4,Yes,No
R,2/2/2021 20:38:04,14,2/2/2021,3,Yes,Took a walk
R,2/3/2021 21:31:52,14,2/3/2021,2,No,I took a walk instead of walk the stairs
R,2/5/2021 19:01:01,14,2/5/2021,4,Yes,no
R,2/7/2021 20:41:07,14,2/7/2021,5,Yes,No
R,2/8/2021 18:37:19,14,2/8/2021,2,No,Took a walk in the snow
R,2/9/2021 20:36:06,14,2/9/2021,3,Yes,No
R,2/10/2021 20:42:33,14,2/10/2021,4,Yes,Took a walk
R,2/11/2021 21:30:58,14,2/11/2021,2,No,Took a walk 
R,2/13/2021 20:35:52,14,2/13/2021,3,Yes,Ice skating
R,2/15/2021 20:34:53,14,2/14/2021,4,Yes,No
R,2/15/2021 20:35:21,14,2/16/2021,3,No,Walked
