Group,Timestamp,Email address,Provide here the date for which you are rating your activity,I am happy with the daily activity suggested to me today,I performed the daily activity suggested to me today,Provide here if you have performed any other physical activity today
R,12/13/2020 10:57:49,10,12/12/2020,4,Yes,No
R,12/14/2020 10:34:48,10,12/13/2020,3,Yes,Dancing Practice
R,12/16/2020 14:14:50,10,12/14/2020,4,No,Dancing Practice
R,12/16/2020 14:15:13,10,12/15/2020,2,Yes,No
R,12/16/2020 18:03:05,10,12/16/2020,4,Yes,No
R,12/18/2020 10:30:27,10,12/17/2020,2,Yes,Fitness workout
R,12/21/2020 11:27:23,10,12/19/2020,3,Yes,No
R,12/21/2020 11:27:41,10,12/20/2020,4,Yes,No
R,12/24/2020 12:47:03,10,12/21/2020,4,Yes,No
R,12/24/2020 12:47:19,10,12/22/2020,2,Yes,Home Workout
R,12/24/2020 12:47:38,10,12/23/2020,2,Yes,No
R,12/27/2020 11:55:43,10,12/24/2020,3,No,No
R,12/27/2020 11:56:15,10,12/25/2020,4,Yes,No
R,12/27/2020 11:56:35,10,12/25/2020,4,Yes,No
R,12/27/2020 11:56:58,10,12/27/2020,4,Yes,No
B,12/9/2020 14:18:24,4,12/7/2020,3,Yes,bicycle ride of 3 hours (this is normally the average length of my bike rides)
B,12/9/2020 17:36:07,4,12/9/2020,4,Yes,30 min walk outside
B,12/16/2020 14:45:09,4,12/11/2020,4,Yes,3 hour bike ride
B,12/16/2020 14:45:54,4,12/14/2020,4,Yes,2 hour bike ride
B,12/3/2020 22:44:31,1,12/3/2020,5,Yes,Nope :D
B,12/7/2020 14:10:29,1,12/7/2020,5,Yes,No
B,12/8/2020 12:03:12,1,12/8/2020,4,Yes,No 
B,12/9/2020 14:13:44,1,12/9/2020,5,Yes,No
B,12/9/2020 18:02:02,1,12/9/2020,5,Yes,no
B,12/16/2020 14:30:17,1,12/11/2020,5,Yes,No
B,12/16/2020 14:30:35,1,12/12/2020,4,Yes,No
B,12/16/2020 14:30:55,1,12/13/2020,5,Yes,No
B,12/16/2020 14:31:13,1,12/14/2020,5,Yes,No
B,12/16/2020 14:31:45,1,12/15/2020,5,Yes,No
B,12/16/2020 14:32:10,1,12/16/2020,4,Yes,More push-ups than recommended 
B,12/31/2020 14:46:32,1,12/17/2020,4,Yes,No
B,12/31/2020 14:47:00,1,12/17/2020,3,Yes,No
B,12/31/2020 14:47:19,1,12/18/2020,4,Yes,Pushups
B,12/31/2020 14:47:33,1,12/19/2020,4,Yes,no
B,12/31/2020 14:47:51,1,12/19/2020,3,No,No
B,12/31/2020 14:48:12,1,12/20/2020,5,Yes,More of the same activity
B,12/31/2020 14:48:37,1,12/21/2020,5,Yes,More of the same activity
B,12/31/2020 14:48:58,1,12/22/2020,2,No,Trekking
B,12/31/2020 14:49:15,1,12/23/2020,4,No,no
B,12/31/2020 14:49:33,1,12/24/2020,4,Yes,no
B,12/31/2020 14:50:02,1,12/25/2020,2,No,no
B,12/31/2020 14:50:22,1,12/26/2020,3,Yes,no
B,12/31/2020 14:50:35,1,12/27/2020,5,Yes,no
B,12/31/2020 14:50:52,1,12/28/2020,2,No,Tennis
B,12/31/2020 14:51:08,1,12/29/2020,5,Yes,no
B,12/31/2020 14:51:25,1,12/30/2020,4,No,no
B,12/31/2020 14:51:40,1,12/31/2020,1,No,no
B,12/9/2020 15:14:41,7,12/7/2020,2,No,I did not do any physical activity today
B,12/9/2020 15:16:13,7,12/8/2020,1,No,"I always go to the gym on tuesday, thursday, and sunday"
B,12/9/2020 15:16:53,7,12/9/2020,4,Yes,I have done some shoulder therapy exercises
